iter	MultiClass
0	1.091490194
1	1.071204723
2	1.04931855
3	1.044429847
4	1.014988393
5	0.9954096099
6	0.9753501612
7	0.952027322
8	0.9324296079
9	0.9069020845
10	0.8719205407
11	0.8391784919
12	0.8308717115
13	0.8066207753
14	0.7877699549
15	0.7734824174
16	0.7414418269
17	0.7228928238
18	0.6911906282
19	0.6651334187
20	0.6516480644
21	0.6326415006
22	0.6219146385
23	0.6124636819
24	0.5926394697
25	0.5806430129
26	0.5668336849
27	0.5582079383
28	0.5453864769
29	0.5257715035
30	0.5161817286
31	0.5109466347
32	0.5036256247
33	0.4944625817
34	0.4770744952
35	0.4599427422
36	0.4473334421
37	0.4366924547
38	0.4299853979
39	0.4172958421
40	0.4058526036
41	0.3936374174
42	0.3831564341
43	0.369948897
44	0.3587878024
45	0.350623557
46	0.3437170494
47	0.3353516964
48	0.3299189238
49	0.3273795914
