iter	Passed	Remaining
0	48	4817
1	49	2441
2	51	1673
3	53	1275
4	54	1036
5	55	877
6	56	756
7	60	693
8	61	624
9	63	567
10	64	519
11	65	479
12	66	444
13	67	413
14	68	386
15	69	367
16	71	347
17	71	327
18	72	310
19	74	298
20	75	285
21	76	272
22	77	260
23	78	248
24	79	238
25	80	230
26	81	221
27	83	213
28	83	205
29	85	199
30	86	191
31	87	185
32	88	179
33	90	175
34	91	170
35	92	165
36	93	160
37	95	155
38	96	151
39	97	146
40	98	141
41	99	137
42	100	132
43	100	128
44	102	124
45	103	121
46	104	118
47	106	115
48	108	113
49	110	110
50	111	107
51	112	103
52	113	100
53	113	96
54	115	94
55	116	91
56	117	88
57	119	86
58	119	83
59	120	80
60	121	77
61	122	75
62	124	72
63	126	71
64	127	68
65	129	66
66	130	64
67	131	61
68	133	59
69	134	57
70	135	55
71	136	53
72	137	50
73	139	49
74	142	47
75	142	45
76	144	43
77	145	40
78	146	38
79	147	36
80	148	34
81	149	32
82	150	30
83	150	28
84	151	26
85	152	24
86	155	23
87	157	21
88	158	19
89	160	17
90	162	16
91	163	14
92	164	12
93	165	10
94	166	8
95	167	6
96	168	5
97	169	3
98	170	1
99	171	0
